mins 683 , noise_error =0.9844961240310077
mins 684 , noise_error =0.9754098360655737
mins 685 , noise_error =0.968
mins 686 , noise_error =1.0
mins 687 , noise_error =1.0
mins 688 , noise_error =0.9606299212598425
mins 689 , noise_error =0.984
mins 690 , noise_error =0.952
mins 691 , noise_error =0.8828125
mins 692 , noise_error =0.9819819819819819
mins 693 , noise_error =1.0
mins 694 , noise_error =1.0
mins 695 , noise_error =1.0
mins 696 , noise_error =0.9824561403508771
mins 697 , noise_error =0.9516129032258065
mins 698 , noise_error =0.9333333333333333
mins 699 , noise_error =1.0
mins 700 , noise_error =1.0
mins 701 , noise_error =0.991869918699187
mins 702 , noise_error =1.0
mins 703 , noise_error =1.0
mins 704 , noise_error =1.0
mins 705 , noise_error =0.9910714285714286
mins 706 , noise_error =0.991304347826087
mins 707 , noise_error =0.976
mins 708 , noise_error =0.991869918699187
mins 709 , noise_error =0.968
mins 710 , noise_error =0.9915966386554622
mins 711 , noise_error =1.0
mins 712 , noise_error =1.0
mins 713 , noise_error =1.0
mins 714 , noise_error =1.0
mins 715 , noise_error =1.0
mins 716 , noise_error =1.0
mins 717 , noise_error =1.0
mins 718 , noise_error =0.9911504424778761
mins 719 , noise_error =0.9911504424778761
mins 720 , noise_error =1.0
mins 721 , noise_error =1.0
mins 722 , noise_error =1.0
mins 723 , noise_error =1.0
mins 724 , noise_error =1.0
mins 725 , noise_error =0.9761904761904762
mins 726 , noise_error =0.984251968503937
mins 727 , noise_error =0.9534883720930233
mins 728 , noise_error =0.9389312977099237
mins 729 , noise_error =0.9624060150375939
mins 730 , noise_error =0.9848484848484849
mins 731 , noise_error =0.9926470588235294
mins 732 , noise_error =0.971830985915493
mins 733 , noise_error =0.96875
mins 734 , noise_error =1.0
mins 735 , noise_error =1.0
mins 736 , noise_error =1.0
mins 737 , noise_error =0.9583333333333334
mins 738 , noise_error =0.975609756097561
mins 739 , noise_error =0.9841269841269842
mins 740 , noise_error =0.975609756097561
mins 741 , noise_error =0.959349593495935
mins 742 , noise_error =0.8760330578512396
mins 743 , noise_error =0.9758064516129032
mins 744 , noise_error =0.8977272727272727
mins 745 , noise_error =0.6233766233766234
mins 746 , noise_error =0.7419354838709677
mins 747 , noise_error =0.9826086956521739
mins 748 , noise_error =1.0
mins 749 , noise_error =0.8347107438016529
mins 750 , noise_error =0.9669421487603306
mins 751 , noise_error =1.0
mins 752 , noise_error =1.0
mins 753 , noise_error =0.9918032786885246
mins 754 , noise_error =1.0
mins 755 , noise_error =1.0
mins 756 , noise_error =1.0
mins 757 , noise_error =1.0
mins 758 , noise_error =1.0
mins 759 , noise_error =1.0
mins 760 , noise_error =1.0
mins 761 , noise_error =1.0
mins 762 , noise_error =1.0
mins 763 , noise_error =1.0
mins 764 , noise_error =1.0
mins 765 , noise_error =1.0
mins 766 , noise_error =1.0
mins 767 , noise_error =1.0
mins 768 , noise_error =0.9841269841269842
mins 769 , noise_error =1.0
mins 770 , noise_error =0.9913793103448276
mins 771 , noise_error =0.9918032786885246
mins 772 , noise_error =0.9911504424778761
mins 773 , noise_error =0.9646017699115044
mins 774 , noise_error =1.0
mins 775 , noise_error =1.0
mins 776 , noise_error =1.0
mins 777 , noise_error =1.0
mins 778 , noise_error =0.9912280701754386
mins 779 , noise_error =1.0
mins 780 , noise_error =0.9836065573770492
